id,query
1,Give me a quick Italian pasta recipe for dinner
2,What's a healthy vegan dessert I can make at home?
3,Can you suggest a gluten-free breakfast that's not boring?
4,I have chicken, rice, and broccoli — what can I make?
5,I need a simple lunch idea for work that I can pack easily
6,Show me a dinner recipe that takes under 20 minutes
7,How do I bake something easy with no prior baking skills?
8,Can you give me a spicy Thai curry recipe?
9,I want a snack idea for kids that is both healthy and fun
10,What can I cook with just eggs and tomatoes?
